Security,ISIN,Shares,Current Price (EUR),Market Value (EUR),Weight,Change,Portfolio
GitLab Inc.,,,58.35,59283.60,12.99%,"+4,367.71 (+10.55%)",Work
ALLIANZ SE NA O.N.,DE0008404005,51,328.80,16768.80,3.74%,"+1,556.52 (+10.23%)",Family
"ADVANCED MIC.DEV.  DL-,01",US0079031078,42,80.80,3393.60,0.76%,"-1,069.32 (-23.96%)",Family
"BERKSH. H.B NEW DL-,00333",US0846707026,22,455.90,10029.80,2.24%,"+321.86 (+3.32%)",Family
"MICROSOFT    DL-,00000625",US5949181045,44,337.15,14834.60,3.31%,"-1,403.16 (-8.64%)",Family
ASML HOLDING EO -,09,NL0010273215,18,581.30,10463.40,2.34%,"-1,708.74 (-14.04%)",Family
ALPHABET INC.CL.C DL-,001,US02079K1079,65,139.06,9038.90,2.02%,"-867.10 (-8.75%)",Family
NVIDIA CORP. DL-,001,US67066G1040,69,96.09,6630.21,1.48%,"-928.05 (-12.28%)",Family
TAIWAN SEMICON.MANU.ADR/5,US8740391003,76,136.80,10396.80,2.32%,"-2,119.64 (-16.93%)",Family
RHEINMETALL AG,DE0007030009,3,1375.00,4125.00,0.92%,"+62.88 (+1.55%)",Brett
ALLIANZ SE NA O.N.,DE0008404005,193,328.80,63458.40,14.17%,"+18,151.69 (+37.88%)",Brett
"ASML HOLDING    EO -,09",NL0010273215,5,581.30,2906.50,0.65%,"+143.54 (+5.03%)",Brett
"ADVANCED MIC.DEV.  DL-,01",US0079031078,56,80.80,4524.80,1.01%,"-1,215.76 (-21.18%)",Brett
"ALPHABET INC.CL.C DL-,001",US02079K1079,72,139.06,10012.32,2.24%,"+4,029.02 (+66.74%)",Brett
"BERKSH. H.B NEW DL-,00333",US0846707026,186,455.90,84797.40,18.94%,"+36,863.34 (+76.90%)",Brett
"CROWDSTRIKE HLD. DL-,0005",US22788C1053,20,325.15,6503.00,1.45%,"+2,792.20 (+75.25%)",Brett
"MICROSOFT    DL-,00000625",US5949181045,54,337.15,18206.10,4.07%,"+5,176.06 (+38.54%)",Brett
NUTANIX INC. A,US67059N1081,76,53.08,4034.08,0.90%,"+12.92 (+0.32%)",Brett
"NVIDIA CORP.      DL-,001",US67066G1040,174,96.01,16705.74,3.73%,"+1,585.97 (+10.49%)",Brett
TAIWAN SEMICON.MANU.ADR/5,US8740391003,20,136.80,2736.00,0.61%,"+755.42 (+35.68%)",Brett
